,Athlete,Meet Info,Lane_Place,Wind,Date,RT,50m,100m,150m,200m,Time,0-100m,100-200m,Differential,Vel_50m,Vel_100m,Vel_150m,Vel_200m,Vel_0_100m,Vel_100_200m,StrideRate,Source,Ath_Mt_Strd
1,"Abbas, Shajar (PAK) (2000)","FINAL - 2022 Commonwealth Games (Birmingham, GBR)",3 / 8,1.1 m/s,06-Aug-22,0.168,5.9,10.8,15.7,21.16,21.16,10.8,10.36,-0.44,8.47,10.2,10.2,9.16,9.26,9.65,88.0,Longines Timing (2022) - commonwealth games race analysis,"Abbas, Shajar (PAK) (2000)_FINAL - 2022 Commonwealth Games (Birmingham, GBR)_88"
2,"Abbas, Shajar (PAK) (2000)","Semi-Final 1 - 2022 Commonwealth Games (Birmingham, GBR)",5 / 3,2.1 m/s,05-Aug-22,0.174,5.9,10.8,15.7,20.89,20.89,10.8,10.09,-0.71,8.47,10.2,10.2,9.63,9.26,9.91,87.0,Longines Timing (2022) - commonwealth games race analysis,"Abbas, Shajar (PAK) (2000)_Semi-Final 1 - 2022 Commonwealth Games (Birmingham, GBR)_87"
3,"Åberg, Oskar (SWE) (1989)","B FINAL - 2012 Windsprint (Sundsvall, SWE)",/ 3,0.4 m/s,17-Jun-12,,11.01,21.63,21.63,3.0,3.0,21.63,-18.63,-40.26,9.08,4.62,9.25,9.08,4.62,,,(2012) - www.elitlandslag.se/SprintHäck/KortSprint.aspx,"Åberg, Oskar (SWE) (1989)_B FINAL - 2012 Windsprint (Sundsvall, SWE)"
4,"Åberg, Oskar (SWE) (1989)","D FINAL - 2007 Windsprint (Sundsvall, SWE)",2 / 1,0.5 m/s,24-Jul-07,,11.28,16.43,21.86,21.86,21.0,16.43,5.43,-11.0,8.87,9.71,9.21,9.15,6.09,18.42,,(2007) - www.ssg.se/en/Windsprint/Split-times/,"Åberg, Oskar (SWE) (1989)_D FINAL - 2007 Windsprint (Sundsvall, SWE)"
5,"Abrantes, Arnaldo (POR) (1986)","Quarter-Final 4 - 2007 IAAF World Championships (Osaka, JPN)",8 / 5,0.6 m/s,28-Aug-07,0.144,5.83,10.47,15.45,20.82,20.82,10.47,10.35,-0.12,8.58,10.78,10.04,9.31,9.55,9.66,88.0,Tsuchie (2010) - run speed of the men's 200m at the 2007 Osaka World Champs,"Abrantes, Arnaldo (POR) (1986)_Quarter-Final 4 - 2007 IAAF World Championships (Osaka, JPN)_88"
6,"Adam, Marcus (GBR) (1968)","FINAL - 1989 IAAF World Cup (Barcelona, ESP)",/ 5,1.9 m/s,10-Sep-89,0.162,10.56,15.45,20.67,20.67,5.0,15.45,5.22,-10.23,9.47,10.22,9.58,9.68,6.47,19.16,,,"Adam, Marcus (GBR) (1968)_FINAL - 1989 IAAF World Cup (Barcelona, ESP)"
7,"Adams, Harry (USA) (1989)","FINAL - 2015 USATF National Championships (Eugene, OR)",/ 8,1.3 m/s,28-Jun-15,,10.7,20.6,20.62,8.0,8.0,20.6,-12.6,-33.2,9.35,10.1,9.7,9.35,4.85,,,,"Adams, Harry (USA) (1989)_FINAL - 2015 USATF National Championships (Eugene, OR)"
8,"Adams, Luxolo (RSA) (1996)","Heat 1 - 2023 World Athletics Championships (Budapest, HUN)",5 / 3,0.0 m/s,23-Aug-23,0.149,10.57,20.15,20.15,53.0,53.0,20.15,32.85,12.7,9.46,10.44,9.93,89.0,4.96,3.04,89.0,Seiko Timing (2023) - world championship race analysis,"Adams, Luxolo (RSA) (1996)_Heat 1 - 2023 World Athletics Championships (Budapest, HUN)_89"
9,"Adams, Luxolo (RSA) (1996)","FINAL - 2023 Bislett Games (Oslo, NOR)",2 / 8,0.6 m/s,15-Jun-23,0.183,6.03,10.75,15.59,20.79,20.79,10.75,10.04,-0.71,8.29,10.59,10.33,9.62,9.3,9.96,90.0,Omega Timing (2023) - diamond league race analysis,"Adams, Luxolo (RSA) (1996)_FINAL - 2023 Bislett Games (Oslo, NOR)_90"
10,"Adams, Luxolo (RSA) (1996)","FINAL - 2022 World Athletics Championships (Eugene, OR)",1 / 8,0.4 m/s,21-Jul-22,0.118,10.51,20.47,20.47,18.0,18.0,20.47,-2.47,-22.94,9.51,10.04,9.77,90.5,4.89,,,Timing by Seiko (2022) - world athletics championships race analysis,"Adams, Luxolo (RSA) (1996)_FINAL - 2022 World Athletics Championships (Eugene, OR)"
11,"Adams, Luxolo (RSA) (1996)","Semi-Final 2 - 2022 World Athletics Championships (Eugene, OR)",6 / 4,1.1 m/s,19-Jul-22,0.124,10.53,20.09,20.09,64.0,64.0,20.09,43.91,23.82,9.5,10.46,9.96,89.0,4.98,2.28,89.0,Timing by Seiko (2022) - world athletics championships race analysis,"Adams, Luxolo (RSA) (1996)_Semi-Final 2 - 2022 World Athletics Championships (Eugene, OR)_89"
12,"Adams, Luxolo (RSA) (1996)","Heat 3 - 2022 World Athletics Championships (Eugene, OR)",6 / 2,2.1 m/s,18-Jul-22,0.127,10.43,20.1,20.1,62.0,62.0,20.1,41.9,21.8,9.59,10.34,9.95,88.5,4.98,2.39,,Timing by Seiko (2022) - world athletics championships race analysis,"Adams, Luxolo (RSA) (1996)_Heat 3 - 2022 World Athletics Championships (Eugene, OR)"
13,"Adams, Luxolo (RSA) (1996)","FINAL - 2022 Meeting de Paris (Paris, FRA)",8 / 1,0.6 m/s,18-Jun-22,0.171,5.83,10.33,14.93,19.82,19.82,10.33,9.49,-0.84,8.58,11.11,10.87,10.22,9.68,10.54,,Omega Timing (2022) - diamond league race analysis,"Adams, Luxolo (RSA) (1996)_FINAL - 2022 Meeting de Paris (Paris, FRA)"
14,"Adams, Luxolo (RSA) (1996)","FINAL - 2022 Golden Gala Pietro Mennea (Rome, ITA)",5 / 2,-0.1 m/s,09-Jun-22,0.161,5.88,10.47,15.24,20.33,20.33,10.47,9.86,-0.61,8.5,10.89,10.48,9.82,9.55,10.14,,Omega Timing (2022) - diamond league race analysis,"Adams, Luxolo (RSA) (1996)_FINAL - 2022 Golden Gala Pietro Mennea (Rome, ITA)"
15,"Adams, Luxolo (RSA) (1996)","FINAL - 2022 Meeting International Mohammed VI d'Athlétime (Rabat, MAR)",5 / 2,2.0 m/s,05-Jun-22,0.14,5.86,10.45,15.23,20.35,20.35,10.45,9.9,-0.55,8.53,10.89,10.46,9.77,9.57,10.1,90.0,Omega Timing (2022) - diamond league race analysis,"Adams, Luxolo (RSA) (1996)_FINAL - 2022 Meeting International Mohammed VI d'Athlétime (Rabat, MAR)_90"
16,"Adeniken, Olapade (NGR) (1969)","FINAL - 1991 IAAF World Championships (Tokyo, JPN)",2 / 5,-3.4 m/s,27-Aug-91,0.173,10.4,20.51,20.51,25.0,25.0,20.51,4.49,-16.02,9.62,9.89,9.75,88.2,4.88,22.27,,,"Adeniken, Olapade (NGR) (1969)_FINAL - 1991 IAAF World Championships (Tokyo, JPN)"
17,"Adeniken, Olapade (NGR) (1969)","FINAL - 1989 IAAF World Cup (Barcelona, ESP)",/ 3,1.9 m/s,10-Sep-89,0.264,10.49,15.29,20.38,20.38,3.0,15.29,5.09,-10.2,9.53,10.42,9.82,9.81,6.54,19.65,,,"Adeniken, Olapade (NGR) (1969)_FINAL - 1989 IAAF World Cup (Barcelona, ESP)"
18,"Adeniken, Olapade (NGR) (1969)","Semi-Final 2 - 1988 Olympic Games (Seoul, KOR)",8 / 6,1.6 m/s,28-Sep-88,0.284,6.04,10.63,15.45,20.67,20.67,10.63,10.04,-0.59,8.28,10.89,10.37,9.58,9.41,9.96,,,"Adeniken, Olapade (NGR) (1969)_Semi-Final 2 - 1988 Olympic Games (Seoul, KOR)"
19,"Adigida, Onyema (NED) (2000)","National FINAL - 2024 FBK Games (Hengelo, NED)",6 / 1,-0.3 m/s,07-Jul-24,0.156,6.07,10.76,15.62,20.83,20.83,10.76,10.07,-0.69,8.24,10.66,10.29,9.6,9.29,9.93,,Omega Timing (2024) - continental tour gold race analysis,"Adigida, Onyema (NED) (2000)_National FINAL - 2024 FBK Games (Hengelo, NED)"
20,"Adolfsson, Henrik (SWE) (1988)","E FINAL - 2007 Windsprint (Sundsvall, SWE)",5 / 2,0.8 m/s,24-Jul-07,,11.69,17.07,22.87,22.87,52.0,17.07,5.8,-11.27,8.55,9.29,8.62,8.75,5.86,17.24,,(2007) - www.ssg.se/en/Windsprint/Split-times/,"Adolfsson, Henrik (SWE) (1988)_E FINAL - 2007 Windsprint (Sundsvall, SWE)"
21,"Afrifah, Blessing (ISR) (2003)","Repechage 3 - 2024 Olympic Games (Paris, FRA)",3 / 4,0.0 m/s,06-Aug-24,0.155,5.97,10.7,15.65,20.88,20.88,10.7,10.18,-0.52,8.38,10.57,10.1,9.56,9.35,9.82,,,"Afrifah, Blessing (ISR) (2003)_Repechage 3 - 2024 Olympic Games (Paris, FRA)"
22,"Afrifah, Blessing (ISR) (2003)","Heat 6 - 2024 Olympic Games (Paris, FRA)",2 / 5,0.1 m/s,05-Aug-24,0.147,5.92,10.66,15.58,20.78,20.78,10.66,10.12,-0.54,8.45,10.55,10.16,9.62,9.38,9.88,86.0,Seiko Timing (2023) - world championship race analysis,"Afrifah, Blessing (ISR) (2003)_Heat 6 - 2024 Olympic Games (Paris, FRA)_86"
23,"Afrifah, Blessing (ISR) (2003)","Heat 3 - 2023 World Athletics Championships (Budapest, HUN)",2 / 5,-1.4 m/s,23-Aug-23,0.16,10.69,20.73,20.73,25.0,25.0,20.73,4.27,-16.46,9.35,9.96,9.65,88.7,4.82,23.42,,Seiko Timing (2023) - world championship race analysis,"Afrifah, Blessing (ISR) (2003)_Heat 3 - 2023 World Athletics Championships (Budapest, HUN)"
24,"Ait Elhadj, Amine (MAR) (1999)","National FINAL - 2023 Meeting International Mohammed VI d'Athlétime (Rabat, MAR)",5 / 5,-0.2 m/s,28-May-23,0.206,6.21,11.26,16.57,22.44,22.44,11.26,11.18,-0.08,8.05,9.9,9.42,8.52,8.88,8.94,,Omega Timing (2023) - diamond league race analysis,"Ait Elhadj, Amine (MAR) (1999)_National FINAL - 2023 Meeting International Mohammed VI d'Athlétime (Rabat, MAR)"
25,"Ait Elhadj, Amine (MAR) (1999)","National FINAL - 2022 Meeting International Mohammed VI d'Athlétime (Rabat, MAR)",6 / 2,-0.6 m/s,05-Jun-22,0.213,6.23,11.22,16.38,21.87,21.87,11.22,10.65,-0.57,8.03,10.02,9.69,9.11,8.91,9.39,,Omega Timing (2022) - diamond league race analysis,"Ait Elhadj, Amine (MAR) (1999)_National FINAL - 2022 Meeting International Mohammed VI d'Athlétime (Rabat, MAR)"
26,"Akintola, Alaba (NGR) (2001)","Semi-Final 2 - 2023 World Athletics Championships (Budapest, HUN)",2 /  8  7,0.0 m/s,24-Aug-23,0.127,10.53,20.75,20.75,287.0,287.0,20.75,266.25,245.5,9.5,9.78,9.64,93.2,4.82,0.38,,Seiko Timing (2023) - world championship race analysis,"Akintola, Alaba (NGR) (2001)_Semi-Final 2 - 2023 World Athletics Championships (Budapest, HUN)"
27,"Akintola, Alaba (NGR) (2001)","Heat 7 - 2023 World Athletics Championships (Budapest, HUN)",6 /  4  3,-0.1 m/s,23-Aug-23,0.177,10.58,20.54,20.54,643.0,643.0,20.54,622.46,601.92,9.45,10.04,9.74,93.0,4.87,0.16,93.0,Seiko Timing (2023) - world championship race analysis,"Akintola, Alaba (NGR) (2001)_Heat 7 - 2023 World Athletics Championships (Budapest, HUN)_93"
28,"Akintola, Alaba (NGR) (2001)","Semi-Final 1 - 2022 Commonwealth Games (Birmingham, GBR)",2 / 5,2.1 m/s,05-Aug-22,0.157,5.8,10.7,15.7,21.16,21.16,10.7,10.46,-0.24,8.62,10.2,10.0,9.16,9.35,9.56,,Longines Timing (2022) - commonwealth games race analysis,"Akintola, Alaba (NGR) (2001)_Semi-Final 1 - 2022 Commonwealth Games (Birmingham, GBR)"
29,"Alerte, David (FRA) (1984)","FINAL - 2009 IAAF World Championships (Berlin, GER)",2 / 8,-0.3 m/s,20-Aug-09,0.161,5.96,10.65,15.59,20.68,20.68,10.65,10.03,-0.62,8.39,10.66,10.12,9.82,9.39,9.97,,,"Alerte, David (FRA) (1984)_FINAL - 2009 IAAF World Championships (Berlin, GER)"
30,"Alerte, David (FRA) (1984)","Semi-Final 1 - 2009 IAAF World Championships (Berlin, GER)",4 / 4,0.0 m/s,19-Aug-09,0.147,5.94,10.6,15.4,20.45,20.45,10.6,9.85,-0.75,8.42,10.73,10.42,9.9,9.43,10.15,81.0,,"Alerte, David (FRA) (1984)_Semi-Final 1 - 2009 IAAF World Championships (Berlin, GER)_81"
31,"Alerte, David (FRA) (1984)","Quarter-Final 1 - 2009 IAAF World Championships (Berlin, GER)",2 / 2,0.0 m/s,18-Aug-09,0.149,5.93,10.64,15.47,20.51,20.51,10.64,9.87,-0.77,8.43,10.62,10.35,9.92,9.4,10.13,,,"Alerte, David (FRA) (1984)_Quarter-Final 1 - 2009 IAAF World Championships (Berlin, GER)"
32,"Alerte, David (FRA) (1984)","Heat 3 - 2009 IAAF World Championships (Berlin, GER)",3 / 4,0.1 m/s,18-Aug-09,0.148,5.95,10.69,15.58,20.72,20.72,10.69,10.03,-0.66,8.4,10.55,10.22,9.73,9.35,9.97,,Graubner (2007) - http://www.fgs.uni-halle.de,"Alerte, David (FRA) (1984)_Heat 3 - 2009 IAAF World Championships (Berlin, GER)"
33,"Alerte, David (FRA) (1984)","FINAL - 2007 European Cup (Munich, GER)",/ 2,1.0 m/s,24-Jun-07,0.166,10.55,15.29,20.34,20.34,2.0,15.29,5.05,-10.24,9.48,10.55,9.9,9.83,6.54,19.8,,Graubner (2007) - http://www.fgs.uni-halle.de,"Alerte, David (FRA) (1984)_FINAL - 2007 European Cup (Munich, GER)"
34,"Al-Hindi, Mohamed Obaid (OMA) (1994)","Heat 4 - 2023 World Athletics Championships (Budapest, HUN)",7 / 7,-0.2 m/s,23-Aug-23,0.176,11.06,21.39,21.39,77.0,77.0,21.39,55.61,34.22,9.04,9.68,9.35,93.0,4.68,1.8,93.0,Seiko Timing (2023) - world championship race analysis,"Al-Hindi, Mohamed Obaid (OMA) (1994)_Heat 4 - 2023 World Athletics Championships (Budapest, HUN)_93"
35,"Almiron, Cesar (PAR) (2001)","Repechage 2 - 2024 Olympic Games (Paris, FRA)",3 /  5,0.6 m/s,06-Aug-24,0.169,6.08,10.79,15.76,20.98,20.98,10.79,10.19,-0.6,8.22,10.62,10.06,9.58,9.27,9.81,92.0,,"Almiron, Cesar (PAR) (2001)_Repechage 2 - 2024 Olympic Games (Paris, FRA)_92"
36,"Almiron, Cesar (PAR) (2001)","Heat 2 - 2024 Olympic Games (Paris, FRA)",8 / 6,-0.1 m/s,05-Aug-24,0.166,6.01,10.73,15.63,20.87,20.87,10.73,10.14,-0.59,8.32,10.59,10.2,9.54,9.32,9.86,,,"Almiron, Cesar (PAR) (2001)_Heat 2 - 2024 Olympic Games (Paris, FRA)"
37,"Al-Salfa, Omar Juma (UAE) (1989)","Heat 2 - 2009 IAAF World Championships (Berlin, GER)",8 / 5,-1.6 m/s,18-Aug-09,0.187,5.98,10.71,15.64,20.84,20.94,10.71,10.13,-0.58,8.36,10.57,10.14,9.62,9.34,9.87,,,"Al-Salfa, Omar Juma (UAE) (1989)_Heat 2 - 2009 IAAF World Championships (Berlin, GER)"
38,"Amoah, Joseph (GHA) (1997)","Heat 6 - 2023 World Athletics Championships (Budapest, HUN)",6 / 5,-0.5 m/s,23-Aug-23,0.16,10.54,20.56,20.56,65.0,65.0,20.56,44.44,23.88,9.49,9.98,9.73,89.0,4.86,2.25,89.0,Seiko Timing (2023) - world championship race analysis,"Amoah, Joseph (GHA) (1997)_Heat 6 - 2023 World Athletics Championships (Budapest, HUN)_89"
39,"Amoah, Joseph (GHA) (1997)","FINAL - 2022 Commonwealth Games (Birmingham, GBR)",5 / 3,1.1 m/s,06-Aug-22,0.157,5.8,10.4,15.2,20.49,20.49,10.4,10.09,-0.31,8.62,10.87,10.42,9.45,9.62,9.91,90.0,Longines Timing (2022) - commonwealth games race analysis,"Amoah, Joseph (GHA) (1997)_FINAL - 2022 Commonwealth Games (Birmingham, GBR)_90"
40,"Amoah, Joseph (GHA) (1997)","Semi-Final 3 - 2022 Commonwealth Games (Birmingham, GBR)",7 / 2,0.1 m/s,05-Aug-22,0.152,5.8,10.5,15.3,20.51,20.51,10.5,10.01,-0.49,8.62,10.64,10.42,9.6,9.52,9.99,88.0,Longines Timing (2022) - commonwealth games race analysis,"Amoah, Joseph (GHA) (1997)_Semi-Final 3 - 2022 Commonwealth Games (Birmingham, GBR)_88"
41,"Amoah, Joseph (GHA) (1997)","Heat 1 - 2022 World Athletics Championships (Eugene, OR)",6 / 5,1.0 m/s,18-Jul-22,0.145,10.61,20.4,20.4,65.0,65.0,20.4,44.6,24.2,9.43,10.21,9.8,88.5,4.9,2.24,,Timing by Seiko (2022) - world athletics championships race analysis,"Amoah, Joseph (GHA) (1997)_Heat 1 - 2022 World Athletics Championships (Eugene, OR)"
42,"Amoah, Joseph (GHA) (1997)","FINAL - 2019 NCAA Championships (Austin, TX)",/ 6,0.8 m/s,07-Jun-19,,10.4,20.2,20.19,6.0,6.0,20.2,-14.2,-34.4,9.62,10.2,9.91,9.62,4.95,,,Timing by Seiko (2022) - world athletics championships race analysis,"Amoah, Joseph (GHA) (1997)_FINAL - 2019 NCAA Championships (Austin, TX)"
43,"Amoo, Seth (GHA) (1983)","FINAL - 2005 NCAA Championships (Sacramento, CA)",/ 6,-0.7 m/s,11-Jun-05,,10.6,20.6,20.63,6.0,6.0,20.6,-14.6,-35.2,9.43,10.0,9.69,9.43,4.85,,,,"Amoo, Seth (GHA) (1983)_FINAL - 2005 NCAA Championships (Sacramento, CA)"
44,An Tai (CHN) (2001),"FINAL - 2023 Chinese National Grand Prix 1 (Rizhao, CHN)",2 / 5,-1.4 m/s,28-Apr-23,0.155,10.83,15.91,21.42,21.42,25.0,15.91,5.51,-10.4,9.23,9.84,9.07,9.34,6.29,18.15,,,"An Tai (CHN) (2001)_FINAL - 2023 Chinese National Grand Prix 1 (Rizhao, CHN)"
45,"Anderson, Marvin (JAM) (1982)","FINAL - 2007 IAAF World Championships (Osaka, JPN)",7 / 6,-0.8 m/s,30-Aug-07,0.171,5.96,10.5,15.26,20.28,20.28,10.5,9.78,-0.72,8.39,11.01,10.5,9.96,9.52,10.22,,Tsuchie (2010) - run speed of the men's 200m at the 2007 Osaka World Champs,"Anderson, Marvin (JAM) (1982)_FINAL - 2007 IAAF World Championships (Osaka, JPN)"
46,"Anderson, Marvin (JAM) (1982)","Semi-Final 2 - 2007 IAAF World Championships (Osaka, JPN)",6 / 2,-0.4 m/s,29-Aug-07,0.163,5.86,10.33,14.99,20.06,20.06,10.33,9.73,-0.6,8.53,11.19,10.73,9.86,9.68,10.28,,Tsuchie (2010) - run speed of the men's 200m at the 2007 Osaka World Champs,"Anderson, Marvin (JAM) (1982)_Semi-Final 2 - 2007 IAAF World Championships (Osaka, JPN)"
47,"Anderson, Marvin (JAM) (1982)","Quarter-Final 3 - 2007 IAAF World Championships (Osaka, JPN)",4 / 2,0.9 m/s,28-Aug-07,0.152,5.84,10.35,15.04,20.13,20.13,10.35,9.78,-0.57,8.56,11.09,10.66,9.82,9.66,10.22,,Tsuchie (2010) - run speed of the men's 200m at the 2007 Osaka World Champs,"Anderson, Marvin (JAM) (1982)_Quarter-Final 3 - 2007 IAAF World Championships (Osaka, JPN)"
48,"Andersson, Adam (SWE) (1991)","D FINAL - 2007 Windsprint (Sundsvall, SWE)",6 / 5,0.5 m/s,24-Jul-07,,11.57,16.86,22.76,22.76,65.0,16.86,5.9,-10.96,8.64,9.45,8.47,8.79,5.93,16.95,,(2007) - www.ssg.se/en/Windsprint/Split-times/,"Andersson, Adam (SWE) (1991)_D FINAL - 2007 Windsprint (Sundsvall, SWE)"
49,"Andersson, Patrik (SWE) (1991)","A FINAL - 2014 Windsprint (Sundsvall, SWE)",2 / 4,1.1 m/s,20-Jul-14,,10.93,21.28,21.28,24.0,24.0,21.28,2.72,-18.56,9.15,9.66,9.4,9.15,4.7,36.76,,Johansen (2014) - www.ssg.se/windsprint/Splittider/,"Andersson, Patrik (SWE) (1991)_A FINAL - 2014 Windsprint (Sundsvall, SWE)"
50,"Angell-Petersen, Börge (NOR) (1983)","D FINAL - 2007 Windsprint (Sundsvall, SWE)",5 / 4,0.5 m/s,24-Jul-07,,11.3,16.61,22.46,22.46,54.0,16.61,5.85,-10.76,8.85,9.42,8.55,8.9,6.02,17.09,,(2007) - www.ssg.se/en/Windsprint/Split-times/,"Angell-Petersen, Börge (NOR) (1983)_D FINAL - 2007 Windsprint (Sundsvall, SWE)"
51,"Annerfalk, Erik (SWE) (1994)","D FINAL - 2014 Windsprint (Sundsvall, SWE)",4 / 1,2.5 m/s,20-Jul-14,,11.28,22.0,22.0,41.0,41.0,22.0,19.0,-3.0,8.87,9.33,9.09,8.87,4.55,5.26,,Johansen (2014) - www.ssg.se/windsprint/Splittider/,"Annerfalk, Erik (SWE) (1994)_D FINAL - 2014 Windsprint (Sundsvall, SWE)"
52,"Ansah, Owen (GER) (2000)","Heat 7 - 2022 World Athletics Championships (Eugene, OR)",2 / 4,-0.3 m/s,18-Jul-22,0.136,10.71,20.52,20.52,24.0,24.0,20.52,3.48,-17.04,9.34,10.19,9.75,86.0,4.87,28.74,86.0,Timing by Seiko (2022) - world athletics championships race analysis,"Ansah, Owen (GER) (2000)_Heat 7 - 2022 World Athletics Championships (Eugene, OR)_86"
53,"Ansah, Owen (GER) (2000)","FINAL - 2022 Golden Gala Pietro Mennea (Rome, ITA)",9 / 6,-0.1 m/s,09-Jun-22,0.167,5.94,10.58,15.45,20.72,20.72,10.58,10.14,-0.44,8.42,10.78,10.27,9.49,9.45,9.86,87.0,Omega Timing (2022) - diamond league race analysis,"Ansah, Owen (GER) (2000)_FINAL - 2022 Golden Gala Pietro Mennea (Rome, ITA)_87"
54,"Ansah, Owen (GER) (2000)","FINAL - 2021 Shimane High School Championships (Izumo, JPN)",7 / 8,2.7 m/s,30-May-21,,11.62,17.12,23.02,23.02,78.0,17.12,5.9,-11.22,8.61,9.09,8.47,8.69,5.84,16.95,,Shimizu (2021) - shimane high school championships 2021 - biomechanics data analysis,"Ansah, Owen (GER) (2000)_FINAL - 2021 Shimane High School Championships (Izumo, JPN)"
55,"Antonov, Nikolay (BUL) (1968)","FINAL - 1991 IAAF World Championships (Tokyo, JPN)",6 / 7,-3.4 m/s,27-Aug-91,0.162,10.53,20.59,20.59,67.0,67.0,20.59,46.41,25.82,9.5,9.94,9.71,84.5,4.86,2.15,,Federle (2003) - http://www.fgs.uni-halle.de,"Antonov, Nikolay (BUL) (1968)_FINAL - 1991 IAAF World Championships (Tokyo, JPN)"
56,"Antonov, Nikolay (BUL) (1968)","FINAL - 1991 European Cup (Frankfurt, GER)",/ 6,-1.6 m/s,30-Jun-91,,10.96,21.37,21.37,6.0,6.0,21.37,-15.37,-36.74,9.12,9.61,9.36,9.12,4.68,,,Federle (2003) - http://www.fgs.uni-halle.de,"Antonov, Nikolay (BUL) (1968)_FINAL - 1991 European Cup (Frankfurt, GER)"
57,"Aoki, Shuma (JPN) (2005)","FINAL - 2022 Japanese National High School Championships (Naruto, JPN)",8 / 6,-2.3 m/s,06-Aug-22,0.169,6.05,11.05,16.27,21.77,21.77,11.05,10.72,-0.33,8.26,10.0,9.58,9.09,9.05,9.33,94.0,Shimizu (2022) - shimane high school championships 2022 - biomechanics data analysis,"Aoki, Shuma (JPN) (2005)_FINAL - 2022 Japanese National High School Championships (Naruto, JPN)_94"
58,"Aoki, Shuma (JPN) (2005)","FINAL - 2022 Shimane High School Championships (Izumo, JPN)",3 / 6,1.3 m/s,28-May-22,,11.81,17.29,23.11,23.11,36.0,17.29,5.82,-11.47,8.47,9.12,8.59,8.65,5.78,17.18,,Shimizu (2022) - shimane high school championships 2022 - biomechanics data analysis,"Aoki, Shuma (JPN) (2005)_FINAL - 2022 Shimane High School Championships (Izumo, JPN)"
59,"Aoki, Shuma (JPN) (2005)","A FINAL - 2020 Shimane High School Championships (Izumo, JPN)",8 / 6,1.9 m/s,12-Jul-20,,11.35,16.77,22.55,22.55,86.0,16.77,5.78,-10.99,8.81,9.23,8.65,8.87,5.96,17.3,,Shimizu (2020) - shimane high school championships 2020 - biomechanics data analysis,"Aoki, Shuma (JPN) (2005)_A FINAL - 2020 Shimane High School Championships (Izumo, JPN)"
60,"Arame, Joseph (FRA) (1948)","Semi-Final 1 - 1978 European Championships (Prague, TCH)",/ 6,-0.2 m/s,31-Aug-78,0.167,10.82,21.08,21.08,6.0,6.0,21.08,-15.08,-36.16,9.24,9.75,9.49,9.24,4.74,,,,"Arame, Joseph (FRA) (1948)_Semi-Final 1 - 1978 European Championships (Prague, TCH)"
61,"Arame, Joseph (FRA) (1948)","Heat 2 - 1978 European Championships (Prague, TCH)",/ 2,-1.5 m/s,31-Aug-78,,11.2,21.32,21.32,2.0,2.0,21.32,-19.32,-40.64,8.93,9.88,9.38,8.93,4.69,,,,"Arame, Joseph (FRA) (1948)_Heat 2 - 1978 European Championships (Prague, TCH)"
62,"Arashikawa, Aito (JPN) (1991)","FINAL - 2009 Japanese National High School Championships (Nara, JPN)",8 / 5,1.6 m/s,01-Aug-09,,6.13,10.98,16.05,21.35,21.35,10.98,10.37,-0.61,8.16,10.31,9.86,9.43,9.11,9.64,,,"Arashikawa, Aito (JPN) (1991)_FINAL - 2009 Japanese National High School Championships (Nara, JPN)"
63,"Arashikawa, Aito (JPN) (1991)","FINAL - 2021 Japanese U16 National Championships (Matsuyama, JPN) (150m)",3 / 4,-0.9 m/s,23-Oct-21,,6.19,11.15,16.38,16.38,34.0,11.15,5.23,-5.92,8.08,10.08,9.56,12.21,8.97,19.12,,,"Arashikawa, Aito (JPN) (1991)_FINAL - 2021 Japanese U16 National Championships (Matsuyama, JPN) (150m)"
64,"Armfelt, Carl (SWE) (1984)","C FINAL - 2014 Windsprint (Sundsvall, SWE)",4 / 1,1.5 m/s,20-Jul-14,,10.98,21.51,21.51,41.0,41.0,21.51,19.49,-2.02,9.11,9.5,9.3,9.11,4.65,5.13,,Johansen (2014) - www.ssg.se/windsprint/Splittider/,"Armfelt, Carl (SWE) (1984)_C FINAL - 2014 Windsprint (Sundsvall, SWE)"
65,"Armfelt, Carl (SWE) (1984)","B FINAL - 2012 Windsprint (Sundsvall, SWE)",/ 4,0.4 m/s,17-Jun-12,,11.18,21.95,21.95,4.0,4.0,21.95,-17.95,-39.9,8.94,4.56,9.11,8.94,4.56,,,(2012) - www.elitlandslag.se/SprintHäck/KortSprint.aspx,"Armfelt, Carl (SWE) (1984)_B FINAL - 2012 Windsprint (Sundsvall, SWE)"
66,"Armstrong, Aaron (USA) (1977)","Semi-Final 1 - 2004 USA Olympic Trials (Sacramento, CA)",1 /  7  6,-0.7 m/s,17-Jul-04,,5.99,10.77,15.6,20.81,20.81,10.77,10.04,-0.73,8.35,10.46,10.35,9.6,9.29,9.96,,,"Armstrong, Aaron (USA) (1977)_Semi-Final 1 - 2004 USA Olympic Trials (Sacramento, CA)"
67,"Asada, Kiyotaka (JPN) (1990)","FINAL - 2008 Japanese National High School Championships (Kumagaya, JPN)",/ 5,-1.3 m/s,01-Aug-08,,6.23,11.27,16.43,21.86,21.86,11.27,10.59,-0.68,8.03,9.92,9.69,9.21,8.87,9.44,,,"Asada, Kiyotaka (JPN) (1990)_FINAL - 2008 Japanese National High School Championships (Kumagaya, JPN)"
